Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PolicyCreation,Chrome 73.0.3683.103,,2019-04-16 16:10:49,2019-04-16 16:14:41,3m - 52.595s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.103,,2019-04-16 16:11:05,2019-04-16 16:11:16,11.163s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-16 16:11:05,2019-04-16 16:11:05,0.001s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.103,,2019-04-16 16:11:05,2019-04-16 16:11:05,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.103,,2019-04-16 16:11:05,2019-04-16 16:11:05,0.437s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.103,,2019-04-16 16:11:05,2019-04-16 16:11:06,0.133s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-16 16:11:06,2019-04-16 16:11:10,4.035s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-16 16:11:10,2019-04-16 16:11:10,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-16 16:11:10,2019-04-16 16:11:16,6.092s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-16 16:11:16,2019-04-16 16:11:16,0.001s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.103,,2019-04-16 16:11:16,2019-04-16 16:11:16,0.001s,NOT_RUN
,,,,,,
Test Cases/TC02-CreatePolicy,Chrome 73.0.3683.103,This test case is for create the Policy,2019-04-16 16:11:16,2019-04-16 16:13:17,2m - 1.400s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-16 16:11:16,2019-04-16 16:11:16,0.000s,PASSED
waitForJQueryLoad(10),Chrome 73.0.3683.103,,2019-04-16 16:11:16,2019-04-16 16:11:16,0.139s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-16 16:11:16,2019-04-16 16:11:21,5.004s,PASSED
"click(findTestObject(""TC-CreatePolicy/DashBoard/ClientSearchLink""))",Chrome 73.0.3683.103,,2019-04-16 16:11:21,2019-04-16 16:11:24,2.463s,PASSED
"setText(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), ""Dipak"")",Chrome 73.0.3683.103,,2019-04-16 16:11:24,2019-04-16 16:11:24,0.262s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-16 16:11:24,2019-04-16 16:11:29,5.003s,PASSED
"sendKeys(findTestObject(""TC-CreatePolicy/ClientListing/ClientName""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-16 16:11:29,2019-04-16 16:11:29,0.068s,PASSED
delay(4),Chrome 73.0.3683.103,,2019-04-16 16:11:29,2019-04-16 16:11:33,4.002s,PASSED
